"","word","ArticleCount"
"1369","learning",16
"1370","leash",17
"1371","led",8
"1372","left",14
"1373","legislation",2
"1374","legs",3
"1375","length",3
"1376","level",44
"1377","levels",71
"1378","lexington",4
"1379","license",3
"1380","licensee",6
"1381","lick",3
"1382","licked",2
"1383","licking",22
"1384","lie",2
"1385","life",21
"1386","lifting",5
"1387","light",4
"1388","lighter",2
"1389","likelihood",6
"1390","likewise",4
"1391","limitations",4
"1392","limited",15
"1393","line",10
"1394","linear",12
"1395","link",4
"1396","linked",14
"1397","linking",2
"1398","links",3
"1399","lip",17
"1400","lists",2
"1401","literature",11
"1402","litters",5
"1403","live",6
"1404","lived",3
"1405","lives",3
"1406","livestock",2
"1407","living",21
"1408","load",2
"1409","local",4
"1410","locate",2
"1411","located",4
"1412","location",6
"1413","locomotion",4
"1414","logistic",2
"1415","looked",10
"1416","losing",3
"1417","loss",5
"1418","lot",2
"1419","lovers",2
"1420","low",37
"1421","lower",46
"1422","lowered",4
"1423","lowest",5
"1424","lt",6
"1425","lupus",8
"1426","lying",8
"1427","m2",2
"1428","magnitude",2
"1429","main",12
"1430","maintain",4
"1431","maintained",4
"1432","maintenance",6
"1433","major",5
"1434","majority",14
"1435","male",28
"1436","males",14
"1437","mammalian",2
"1438","mammals",2
"1439","managed",2
"1440","management",7
"1441","managing",3
"1442","manifested",3
"1443","manifests",2
"1444","manipulate",2
"1445","manipulated",3
"1446","manipulating",3
"1447","manipulation",8
"1448","manipulations",6
"1449","manipulative",2
"1450","mann",5
"1451","manner",11
"1452","manual",2
"1453","marginal",2
"1454","marked",3
"1455","markedly",5
"1456","markers",2
"1457","matched",3
"1458","matching",2
"1459","mate",2
"1460","materials",2
"1461","maternal",2
"1462","mates",3
"1463","matter",2
"1464","maximal",2
"1465","maximum",3
"1466","mayo",2
"1467","mdpi",5
"1468","meaning",2
"1469","meaningful",3
"1470","means",13
"1471","measure",28
"1472","measured",50
"1473","measurement",12
"1474","measurements",9
"1475","measures",32
"1476","measuring",14
"1477","mechanism",3
"1478","mechanisms",19
"1479","median",6
"1480","mediated",5
"1481","mediates",3
"1482","medical",3
"1483","medium",6
"1484","meet",2
"1485","membrane",2
"1486","memorability",2
"1487","memory",4
"1488","mental",3
"1489","mentality",3
"1490","mere",2
"1491","met",2
"1492","meter",2
"1493","method",25
"1494","methodologies",2
"1495","methodology",4
"1496","methods",15
"1497","mg",4
"1498","mild",8
"1499","mildly",3
"1500","military",10
"1501","min",45
"1502","minimal",6
"1503","minimally",2
"1504","minute",16
"1505","minutes",18
"1506","mirror",4
"1507","mirrored",2
"1508","misinterpreted",2
"1509","mixed",20
"1510","mixture",4
"1511","mock",2
"1512","model",17
"1513","models",14
"1514","moderate",5
"1515","moderated",2
"1516","moderately",3
"1517","moderating",3
"1518","modest",2
"1519","modification",5
"1520","modifications",2
"1521","modified",18
"1522","modify",3
"1523","modulated",7
"1524","modulating",2
"1525","modulation",2
"1526","monitor",5
"1527","monitored",8
"1528","monitoring",8
"1529","month",6
"1530","months",18
"1531","mood",3
"1532","mother",9
"1533","mothers",2
"1534","motion",2
"1535","motivated",6
"1536","motivating",2
"1537","motivation",7
"1538","motivational",3
"1539","motor",3
"1540","mouth",9
"1541","move",3
"1542","moved",3
"1543","movement",8
"1544","movements",3
"1545","moving",9
"1546","multi",3
"1547","multiple",9
"1548","multivariate",2
"1549","mutual",5
"1550","mutually",4
"1551","muzzle",5
"1552","muzzles",2
"1553","mwd",2
"1554","natural",6
"1555","naturalistic",5
"1556","nature",6
"1557","necessarily",2
"1558","neck",2
"1559","negative",27
"1560","negatively",17
"1561","neo",3
"1562","nervous",4
"1563","network",2
"1564","neural",5
"1565","neurochemicals",2
"1566","neurohormonal",2
"1567","neurological",2
"1568","neuropeptides",2
"1569","neuroticism",4
"1570","neurotransmitter",2
"1571","neutered",2
"1572","neutral",16
"1573","newly",3
"1574","niche",2
"1575","nineteen",2
"1576","ninety",6
"1577","noise",4
"1578","nonhuman",3
"1579","noninvasive",2
"1580","nonsocial",4
"1581","normal",15
"1582","nose",2
"1583","noted",2
"1584","notion",2
"1585","nucleotide",3
"1586","numerous",3
"1587","nursing",2
"1588","obedience",17
"1589","obedient",3
"1590","obeying",3
"1591","object",23
"1592","objective",10
"1593","objectively",2
"1594","objects",8
"1595","observable",4
"1596","observation",15
"1597","observational",4
"1598","observations",20
"1599","observe",5
"1600","observed",73
"1601","observer",6
"1602","observers",7
"1603","observing",3
"1604","obtain",5
"1605","obtained",16
"1606","obtaining",3
"1607","occasional",2
"1608","occasions",4
"1609","occur",4
"1610","occurred",6
"1611","occurrence",8
"1612","occurring",4
"1613","occurs",2
"1614","odds",2
"1615","odor",2
"1616","odour",2
"1617","offer",4
"1618","offered",2
"1619","offers",3
"1620","office",2
"1621","ongoing",2
"1622","onset",2
"1623","ontogeny",2
"1624","openness",3
"1625","operant",3
"1626","operational",2
"1627","opportunities",6
"1628","opportunity",5
"1629","opposite",5
"1630","option",2
"1631","oral",3
"1632","organization",3
"1633","organizations",4
"1634","orientation",6
"1635","oriented",13
"1636","origin",3
"1637","original",7
"1638","originally",2
"1639","origins",2
"1640","ot",5
"1641","outcome",9
"1642","outcomes",6
"1643","outdoor",3
"1644","overarching",2
"1645","owned",15
"1646","owner",120
"1647","owner's",20
"1648","owner’s",6
"1649","owners",94
"1650","ownership",3
"1651","oxtr",4
"1652","oxytocin",24
"1653","pack",3
"1654","paid",2
"1655","pain",4
"1656","pair",5
"1657","paired",6
"1658","pairs",12
"1659","panting",9
"1660","paper",8
"1661","paradigm",8
"1662","parallel",2
"1663","parallels",2
"1664","parameter",4
"1665","parameters",22
"1666","parent",7
"1667","parenting",5
"1668","parents",5
"1669","park",2
"1670","participant",7
"1671","participants",7
"1672","participate",5
"1673","participated",28
"1674","participating",14
"1675","participation",6
"1676","partner",11
"1677","partners",11
"1678","partnerships",2
"1679","party",4
"1680","passed",4
"1681","passing",2
"1682","passive",14
"1683","passively",3
"1684","past",5
"1685","pathways",4
"1686","patient",3
"1687","patients",7
"1688","pattern",13
"1689","patterns",21
"1690","patting",2
"1691","paw",8
"1692","pca",3
"1693","pd",2
"1694","peculiar",2
"1695","pen",6
"1696","pens",2
"1697","people",42
"1698","people's",3
"1699","perceive",4
"1700","perceived",10
"1701","percent",4
"1702","percentage",4
"1703","perception",8
"1704","perceptions",3
"1705","perform",13
"1706","performance",35
"1707","performances",3
"1708","performed",39
"1709","performing",6
"1710","period",39
"1711","periodontal",2
"1712","periods",10
"1713","permanently",2
"1714","permits",3
"1715","persist",2
"1716","persistence",3
"1717","persistent",5
"1718","person",49
"1719","person's",2
"1720","personalities",4
"1721","personality",19
"1722","persons",11
"1723","perspective",2
"1724","pet",54
"1725","pets",14
"1726","petted",7
"1727","petting",22
"1728","pg",2
"1729","pharmacological",3
"1730","phase",13
"1731","phases",8
"1732","phenomena",3
"1733","phenomenon",3
"1734","phenylethylamine",2
"1735","pheromone",2
"1736","phone",2
"1737","physical",42
"1738","physically",4
"1739","physiologic",2
"1740","physiological",44
"1741","physiology",9
"1742","picture",2
"1743","piece",2
"1744","pilot",8
"1745","pitched",2
"1746","pituitary",9
"1747","pivotal",2
"1748","placebo",6
"1749","placing",2
"1750","plaque",2
"1751","plasma",10
"1752","plastic",2
"1753","plasticity",2
"1754","play",38
"1755","played",13
"1756","playful",12
"1757","playfulness",2
"1758","playing",12
"1759","plays",6
"1760","pleasant",2
"1761","pleasurable",3
"1762","pointers",2
"1763","polar",3
"1764","police",5
"1765","polymorphisms",4
"1766","poor",8
"1767","poorly",2
"1768","popular",5
"1769","population",16
"1770","populations",6
"1771","portion",2
"1772","pose",2
"1773","position",10
"1774","positioned",2
"1775","positions",4
"1776","positive",77
"1777","positively",18
"1778","possess",4
"1779","possibility",8
"1780","possibly",9
"1781","post",22
"1782","postsession",2
"1783","posttest",3
"1784","postural",3
"1785","posture",18
"1786","postures",7
"1787","potential",41
"1788","potentially",17
"1789","power",3
"1790","powerful",3
"1791","practical",7
"1792","practice",7
"1793","practices",5
"1794","praise",4
"1795","praising",2
"1796","pre",21
"1797","preceding",3
"1798","precise",3
"1799","predict",7
"1800","predictability",4
"1801","predicted",10
"1802","predicting",2
"1803","prediction",2
"1804","predictions",2
"1805","predictive",7
"1806","predictor",3
"1807","predictors",3
"1808","predisposed",2
"1809","predisposition",2
"1810","predispositions",2
"1811","predominantly",2
"1812","prefer",8
"1813","preference",16
"1814","preferences",3
"1815","preferential",3
"1816","preferred",11
"1817","preliminary",11
"1818","presence",43
"1819","presentation",3
"1820","pressure",5
"1821","presumed",3
"1822","pretended",2
"1823","pretest",4
"1824","prevalent",5
"1825","prevent",6
"1826","preventing",2
"1827","prevention",3
"1828","previous",38
"1829","previously",16
"1830","primarily",5
"1831","primary",6
"1832","primates",4
"1833","principal",15
"1834","prior",10
"1835","prison",2
"1836","private",3
"1837","privately",7
"1838","probability",3
"1839","probable",2
"1840","probe",2
"1841","procedure",24
"1842","procedures",13
"1843","process",17
"1844","processed",2
"1845","processes",7
"1846","processing",4
"1847","produce",6
"1848","produced",9
"1849","produces",3
"1850","product",2
"1851","production",2
"1852","professional",3
"1853","professionals",2
"1854","proficient",2
"1855","profile",3
"1856","profiles",5
"1857","program",24
"1858","programme",3
"1859","programs",11
"1860","progress",2
"1861","project",2
"1862","prolactin",2
"1863","prolonged",4
"1864","promote",3
"1865","promotes",4
"1866","prone",3
"1867","pronounced",10
"1868","proper",2
"1869","properties",2
"1870","proportion",7
"1871","proportions",2
"1872","propose",3
"1873","proposed",10
"1874","prosocial",4
"1875","prospective",2
"1876","protection",6
"1877","protest",4
"1878","protocol",12
"1879","protocols",2
"1880","prove",2
"1881","proved",5
"1882","provide",29
"1883","provided",27
"1884","providing",10
"1885","provoking",2
"1886","proximal",2
"1887","proximity",28
"1888","ps",2
"1889","pseudo",3
"1890","psychobiological",2
"1891","psychological",9
"1892","psychology",2
"1893","psycinfo",2
"1894","public",9
"1895","publication",3
"1896","published",5
"1897","pull",2
"1898","pulled",3
"1899","pulling",4
"1900","punishment",4
"1901","punitive",2
"1902","puppet",2
"1903","puppies",12
"1904","puppy",7
"1905","puppy's",3
"1906","puppyhood",2
"1907","pups",4
"1908","purchased",3
"1909","purpose",16
"1910","purposeful",2
"1911","purposes",3
"1912","putative",2
"1913","qualitative",2
"1914","quality",18
"1915","quantified",2
"1916","quantifying",4
"1917","quantitative",3
"1918","quantity",2
"1919","question",5
"1920","questioned",3
"1921","questionnaire",23
"1922","questionnaires",9
"1923","questions",3
"1924","quick",2
"1925","quickly",3
"1926","quiet",3
"1927","quietly",2
"1928","quimica",2
"1929","raised",12
"1930","ran",2
"1931","random",8
"1932","randomised",2
"1933","randomized",5
"1934","randomly",9
"1935","range",16
"1936","ranged",3
"1937","ranging",12
"1938","rank",5
"1939","rapid",7
"1940","rapidly",3
"1941","rarely",3
"1942","rate",44
"1943","rated",6
"1944","rates",8
"1945","ratings",2
"1946","ratio",8
"1947","rats",2
"1948","reach",6
"1949","react",6
"1950","reacted",10
"1951","reacting",2
"1952","reaction",24
"1953","reactions",31
"1954","reactivity",8
"1955","read",5
"1956","readily",2
"1957","reading",4
"1958","real",6
"1959","realistic",2
"1960","reared",3
"1961","reason",5
"1962","reasons",2
"1963","recall",5
"1964","receive",5
"1965","received",25
"1966","receiving",9
"1967","recent",17
"1968","recently",3
"1969","receptor",4
"1970","recipients",2
"1971","recognition",2
"1972","recognize",3
"1973","recognized",2
"1974","recommended",7
"1975","record",7
"1976","recorded",49
"1977","recording",11
"1978","recordings",7
"1979","recovery",2
"1980","recreational",2
"1981","recruited",4
"1982","recruitment",2
"1983","rectal",2
"1984","redirected",5
"1985","reduce",18
"1986","reduced",30
"1987","reduces",2
"1988","reducing",15
"1989","reduction",12
"1990","reductions",3
"1991","refer",2
"1992","referencing",6
"1993","referential",6
"1994","referred",5
"1995","reflect",12
"1996","reflected",6
"1997","reflecting",3
"1998","reflects",3
"1999","regard",5
"2000","regarded",4
"2001","region",2
"2002","regions",2
"2003","registered",5
"2004","regression",7
"2005","regular",11
"2006","regularly",6
"2007","regulation",7
"2008","rehabilitate",2
"2009","rehabilitation",2
"2010","rehomed",2
"2011","rehoming",4
"2012","reinforced",5
"2013","reinforcement",12
"2014","reinforcer",3
"2015","reinforcing",4
"2016","relate",2
"2017","related",80
"2018","relation",9
"2019","relational",2
"2020","relationship",77
"2021","relationships",20
"2022","relative",12
"2023","relaxation",2
"2024","relaxed",11
"2025","release",7
"2026","released",3
"2027","relevance",8
"2028","relevant",11
"2029","reliability",10
"2030","reliable",4
"2031","reliably",3
"2032","relinquished",3
"2033","rely",3
"2034","rem",2
"2035","remain",4
"2036","remained",19
"2037","remaining",7
"2038","remains",11
"2039","remarkable",7
"2040","remote",2
"2041","removed",2
"2042","repeat",2
"2043","repeatability",2
"2044","repeatable",2
"2045","repeated",11
"2046","repeatedly",2
"2047","repeating",2
"2048","repetition",2
"2049","repetitions",3
"2050","repetitive",2
"2051","replaced",3
"2052","replicate",2
"2053","replicated",3
"2054","report",11
"2055","reported",33
"2056","reporting",3
"2057","reports",10
"2058","represent",5
"2059","represented",4
"2060","representing",4
"2061","represents",3
"2062","reproduction",2
"2063","reputation",4
"2064","request",2
"2065","requested",3
"2066","requests",2
"2067","require",2
"2068","required",10
"2069","requires",3
"2070","rescue",12
"2071","rescuing",2
"2072","research",48
"2073","researcher",3
"2074","researchers",3
"2075","reserved",40
"2076","residing",2
"2077","residual",2
"2078","resolution",2
"2079","resources",3
"2080","respect",2
"2081","respective",3
"2082","respiratory",4
"2083","respond",16
"2084","responded",9
"2085","responding",6
"2086","responds",2
"2087","response",76
"2088","responses",71
"2089","responsible",2
"2090","responsive",5
"2091","responsiveness",13
"2092","responsivity",2
"2093","rest",3
"2094","rested",3
"2095","resting",9
"2096","restlessness",3
"2097","restraint",2
"2098","restricted",4
"2099","result",16
"2100","resulted",13
"2101","resulting",3
"2102","results",159
"2103","retained",2
"2104","retest",4
"2105","retired",2
"2106","retrieval",3
"2107","retrieve",2
"2108","retriever",6
"2109","retrievers",15
"2110","return",6
"2111","returned",8
"2112","reunion",9
"2113","reunited",2
"2114","reveal",5
"2115","revealed",31
"2116","reward",16
"2117","rewarded",3
"2118","rewarding",5
"2119","rewards",11
"2120","rich",2
"2121","rights",40
"2122","rise",3
"2123","risk",11
"2124","risks",3
"2125","rmssd",4
"2126","ro",2
"2127","roaming",2
"2128","robust",2
"2129","robustness",2
"2130","rodents",4
"2131","role",31
"2132","root",4
"2133","roots",2
"2134","rope",2
"2135","round",2
"2136","routine",8
"2137","rr",2
"2138","rs",6
"2139","rs1042778",2
"2140","rs2254298",2
"2141","rs53576",2
"2142","rs8679682",2
"2143","rudimentary",2
"2144","run",4
"2145","s.d",2
"2146","safe",2
"2147","safety",2
"2148","salient",2
"2149","saline",2
"2150","saliva",29
"2151","salivary",38
"2152","sample",23
"2153","sampled",3
"2154","samples",38
"2155","sampling",16
"2156","sat",3
"2157","saxony",3
"2158","scale",13
"2159","scaled",2
"2160","scarce",2
"2161","scent",2
"2162","schedule",2
"2163","schedules",2
"2164","scheme",2
"2165","school",2
"2166","schools",4
"2167","science",5
"2168","scientific",10
"2169","scolded",2
"2170","scolding",2
"2171","score",10
"2172","scored",23
"2173","scores",34
"2174","scoring",11
"2175","scratching",4
"2176","screening",2
"2177","sd",9
"2178","se",4
"2179","search",8
"2180","searching",3
"2181","secluded",2
"2182","secondary",2
"2183","secure",17
"2184","securely",4
"2185","security",2
"2186","seek",2
"2187","seeking",32
"2188","selected",17
"2189","selection",10
"2190","selective",4
"2191","semi",2
"2192","sensitive",6
"2193","sensitivity",11
"2194","sensory",4
"2195","separate",5
"2196","separated",10
"2197","separately",3
"2198","separation",36
"2199","separations",2
"2200","sequence",8
"2201","sequences",3
"2202","series",7
"2203","serotonin",2
"2204","serum",6
"2205","serve",2
"2206","served",2
"2207","service",4
"2208","session",29
"2209","sessions",41
"2210","set",14
"2211","setting",12
"2212","settings",14
"2213","setup",2
"2214","seventeen",3
"2215","seventy",2
"2216","severe",6
"2217","severely",2
"2218","severity",2
"2219","sex",28
"2220","sexes",3
"2221","shaking",6
"2222","shaped",2
"2223","share",2
"2224","shared",6
"2225","shelter",44
"2226","shelters",23
"2227","shepherd",5
"2228","shepherds",2
"2229","shift",2
"2230","shock",3
"2231","shocked",2
"2232","shoe",2
"2233","short",16
"2234","shorter",9
"2235","shown",36
"2236","sign",7
"2237","signal",4
"2238","signaling",4
"2239","signals",23
"2240","significance",6
"2241","significant",92
"2242","significantly",90
"2243","signs",29
"2244","silent",2
"2245","similar",39
"2246","similarity",2
"2247","similarly",12
"2248","simple",24
"2249","simplified",2
"2250","simulated",2
"2251","simultaneously",3
"2252","single",11
"2253","sit",11
"2254","site",4
"2255","sites",3
"2256","sitting",6
"2257","situated",2
"2258","situation",59
"2259","situations",45
"2260","sixteen",3
"2261","sixty",6
"2262","size",6
"2263","skills",15
"2264","sled",2
"2265","sleep",4
"2266","slightly",5
"2267","slower",2
"2268","slowly",2
"2269","sniff",2
"2270","sniffing",5
"2271","snp",2
"2272","snps",2
"2273","sociability",12
"2274","sociable",6
"2275","social",115
"2276","socialisation",5
"2277","socialised",2
"2278","sociality",2
"2279","socialization",14
"2280","socialized",8
"2281","socializing",2
"2282","socially",8
"2283","sociedad",2
"2284","societal",2
"2285","society",10
"2286","socio",8
"2287","solely",3
"2288","solicitation",4
"2289","solicited",2
"2290","soliciting",2
"2291","solution",2
"2292","solve",3
"2293","solving",9
"2294","sought",4
"2295","sound",5
"2296","sounds",2
"2297","source",8
"2298","space",6
"2299","speaking",2
"2300","spearman",2
"2301","special",7
"2302","specialist",2
"2303","specialized",2
"2304","specially",3
"2305","species",44
"2306","specific",50
"2307","specifically",9
"2308","specimens",2
"2309","spectral",2
"2310","speed",2
"2311","spend",5
"2312","spending",5
"2313","spent",40
"2314","spite",2
"2315","spontaneous",5
"2316","sport",2
"2317","springer",9
"2318","square",6
"2319","ssp",3
"2320","sst",6
"2321","stability",2
"2322","stable",5
"2323","staff",12
"2324","stage",2
"2325","stages",5
"2326","stand",2
"2327","standard",13
"2328","standardised",4
"2329","standardization",2
"2330","standardized",21
"2331","standards",2
"2332","standing",13
"2333","start",7
"2334","started",3
"2335","startle",2
"2336","statistical",15
"2337","statistically",9
"2338","statistics",3
"2339","status",5
"2340","stay",7
"2341","stayed",3
"2342","steadily",2
"2343","step",7
"2344","steps",3
"2345","stimulation",11
"2346","stimuli",40
"2347","stimulus",19
"2348","stood",3
"2349","strange",32
"2350","stranger",45
"2351","stranger's",2
"2352","strangers",19
"2353","strategies",10
"2354","strategy",4
"2355","stray",3
"2356","streets",4
"2357","strength",7
"2358","strengthen",3
"2359","strengthening",2
"2360","stress",94
"2361","stressed",11
"2362","stressful",27
"2363","stressor",3
"2364","stressors",6
"2365","stroked",4
"2366","stroking",7
"2367","strong",17
"2368","stronger",12
"2369","strongly",7
"2370","structural",2
"2371","structure",3
"2372","structured",2
"2373","structures",2
"2374","student",3
"2375","students",3
"2376","studied",24
"2377","studies",64
"2378","study",208
"2379","studying",6
"2380","style",18
"2381","styles",12
"2382","subject",16
"2383","subject's",2
"2384","subjected",17
"2385","subjecting",2
"2386","subjective",3
"2387","subjects",25
"2388","submissive",4
"2389","submitted",5
"2390","subscale",2
"2391","subscales",2
"2392","subsequent",13
"2393","subsequently",4
"2394","substantial",5
"2395","substantially",4
"2396","subtest",2
"2397","subtests",5
"2398","subtle",7
"2399","success",12
"2400","successful",15
"2401","successfully",8
"2402","successive",3
"2403","sudden",3
"2404","suddenly",2
"2405","sufficient",2
"2406","sufficiently",2
"2407","suggest",75
"2408","suggested",16
"2409","suggesting",33
"2410","suggests",31
"2411","suitability",5
"2412","suitable",5
"2413","sum",2
"2414","summary",6
"2415","summarydogs",2
"2416","summarythe",3
"2417","supplement",2
"2418","support",38
"2419","supported",9
"2420","supporting",2
"2421","supports",6
"2422","surface",3
"2423","surprisingly",2
"2424","surroundings",3
"2425","surveillance",2
"2426","survey",9
"2427","surveyed",3
"2428","susceptibility",4
"2429","sustain",2
"2430","sustained",4
"2431","sweat",2
"2432","switzerland",5
"2433","sympathetic",3
"2434","symptoms",3
"2435","synchronization",2
"2436","syndrome",2
"2437","system",24
"2438","systematic",5
"2439","systematically",3
"2440","systems",5
"2441","systolic",2
"2442","t0",2
"2443","t1",3
"2444","t2",2
"2445","t3",2
"2446","table",3
"2447","tactile",6
"2448","tail",24
"2449","taking",8
"2450","talk",2
"2451","talked",2
"2452","talking",6
"2453","target",5
"2454","targets",3
"2455","task",34
"2456","tasks",22
"2457","taught",2
"2458","taylor",2
"2459","teaching",3
"2460","team",5
"2461","team's",2
"2462","teams",10
"2463","technique",2
"2464","techniques",6
"2465","teeth",3
"2466","telemetrically",2
"2467","temperament",12
"2468","temperature",9
"2469","temperatures",2
"2470","temporary",3
"2471","ten",6
"2472","tend",2
"2473","tended",12
"2474","tendencies",6
"2475","tendency",12
"2476","tense",2
"2477","tension",4
"2478","tensions",3
"2479","term",9
"2480","terms",13
"2481","test",122
"2482","tested",75
"2483","testing",30
"2484","testosterone",4
"2485","tests",43
"2486","theoretical",2
"2487","theory",4
"2488","therapeutic",5
"2489","therapy",18
"2490","thermography",2
"2491","thirteen",2
"2492","thirty",5
"2493","threat",6
"2494","threatening",21
"2495","threateningly",2
"2496","time",98
"2497","times",20
"2498","timing",2
"2499","tolerance",2
"2500","tolerant",3
"2501","tone",6
"2502","tongue",2
"2503","tonic",2
"2504","tool",5
"2505","tooth",2
"2506","total",29
"2507","totally",3
"2508","touch",5
"2509","touching",2
"2510","toy",6
"2511","toys",7
"2512","tracking",4
"2513","traffic",2
"2514","train",4
"2515","trainability",4
"2516","trained",35
"2517","trainer",8
"2518","trainers",11
"2519","training",65
"2520","trait",9
"2521","traits",12
"2522","transfer",2
"2523","transition",4
"2524","transitioning",2
"2525","trapped",3
"2526","traumatic",3
"2527","treat",3
"2528","treated",3
"2529","treatment",27
"2530","treatments",11
"2531","treats",4
"2532","trembling",2
"2533","trend",10
"2534","trends",2
"2535","trial",10
"2536","trials",13
"2537","triggered",4
"2538","trip",2
"2539","triplicate",2
"2540","trust",2
"2541","trusting",2
"2542","tug",4
"2543","twelve",4
"2544","twenty",13
"2545","tympanic",2
"2546","type",23
"2547","types",15
"2548","typical",4
"2549","typically",6
"2550","uk",2
"2551","ulster",2
"2552","unaffected",3
"2553","uncertainty",4
"2554","unclear",14
"2555","uncorrelated",2
"2556","undergo",2
"2557","underlie",2
"2558","underlying",11
"2559","understand",10
"2560","understanding",22
"2561","understood",4
"2562","undertaken",4
"2563","underwent",8
"2564","undesirable",6
"2565","unexpected",2
"2566","unexpectedly",2
"2567","unexplored",2
"2568","unfamiliar",70
"2569","uniform",2
"2570","unimpaired",2
"2571","unique",6
"2572","unit",2
"2573","united",2
"2574","university",4
"2575","unknown",22
"2576","unlike",2
"2577","unpleasant",2
"2578","unrelated",6
"2579","unresponsive",2
"2580","unrestrained",2
"2581","unrestricted",3
"2582","unsolvable",3
"2583","unstable",2
"2584","unsuccessful",2
"2585","unsuitable",2
"2586","untrained",7
"2587","unusual",4
"2588","urban",6
"2589","urinary",5
"2590","urinated",2
"2591","urine",6
"2592","usa",3
"2593","usefulness",2
"2594","usual",5
"2595","utilize",2
"2596","utilizing",2
"2597","valence",5
"2598","valenced",2
"2599","validate",3
"2600","validated",6
"2601","validity",8
"2602","valuable",5
"2603","values",14
"2604","variability",22
"2605","variable",6
"2606","variables",23
"2607","variance",10
"2608","variation",10
"2609","variations",5
"2610","varied",16
"2611","varies",2
"2612","variety",3
"2613","vary",7
"2614","varying",4
"2615","vasopressin",3
"2616","vehicles",2
"2617","ventral",2
"2618","verbal",16
"2619","verbally",3
"2620","verlag",6
"2621","version",14
"2622","versions",2
"2623","versus",13
"2624","vet",2
"2625","veterinarian",6
"2626","veterinarians",3
"2627","veterinary",17
"2628","victim",2
"2629","video",25
"2630","videorecorded",2
"2631","videos",6
"2632","videotape",3
"2633","videotaped",9
"2634","view",8
"2635","viewed",3
"2636","viewing",5
"2637","vigilance",2
"2638","virtually",2
"2639","visible",2
"2640","visit",7
"2641","visited",2
"2642","visitors",2
"2643","visits",8
"2644","visual",13
"2645","vital",2
"2646","vocal",9
"2647","vocalisation",3
"2648","vocalisations",6
"2649","vocalization",6
"2650","vocalizations",7
"2651","vocalize",2
"2652","vocalized",2
"2653","vocalizing",2
"2654","voice",4
"2655","voluntarily",3
"2656","voluntary",2
"2657","volunteer",4
"2658","volunteering",2
"2659","volunteers",9
"2660","wagging",18
"2661","waiting",2
"2662","wakefulness",2
"2663","walk",12
"2664","walked",9
"2665","walker",4
"2666","walkers",3
"2667","walking",15
"2668","walks",7
"2669","war",2
"2670","warm",2
"2671","warmth",2
"2672","watched",2
"2673","water",4
"2674","weak",3
"2675","wearing",3
"2676","weather",2
"2677","week",20
"2678","weekly",5
"2679","weeks",26
"2680","weight",3
"2681","welfare",62
"2682","wellbeing",2
"2683","whilst",3
"2684","whining",10
"2685","whitney",5
"2686","wide",5
"2687","widely",10
"2688","wilcoxon",6
"2689","wild",3
"2690","wildlife",2
"2691","willingness",5
"2692","winning",3
"2693","wise",2
"2694","withdrawal",8
"2695","withdrawn",2
"2696","withheld",2
"2697","wolf",7
"2698","wolves",8
"2699","woman",6
"2700","women",7
"2701","world",3
"2702","worldwide",3
"2703","worse",2
"2704","yawn",3
"2705","yawned",3
"2706","yawning",11
"2707","zone",2
"2708","zones",2
"2709","β",2
